time (us),channelA(V),channelB(V),channelB(V)
0,0.05,0.95,-0.15
2,0.05,0.7,-0.35
4,0.05,0.45,-0.6
6,0.05,0.2,-0.85
8,0.05,-0.05,-1.05
10,0.1,-0.35,-1.2
12,0.1,-0.5,-1.2
14,0.1,-0.75,-1.25
16,0.1,-1.0,-1.25
18,0.1,-1.2,-1.25
20,0.1,-1.35,-1.25
22,0.1,-1.55,-1.25
24,0.1,-1.65,-1.25
26,0.1,-1.75,-1.25
28,0.1,-1.85,-1.25
30,0.1,-1.9,-1.25
32,0.05,-1.95,-1.25
34,0.05,-1.95,-1.25
36,0.05,-1.9,-1.25
38,0.05,-1.8,-1.25
40,0.05,-1.75,-1.25
42,0.0,-1.65,-1.2
44,0.0,-1.5,-1.2
46,0.0,-1.35,-1.2
48,0.0,-1.15,-1.15
50,-0.05,-0.9,-1.15
52,-0.05,-0.7,-1.05
54,-0.05,-0.45,-0.95
56,-0.05,-0.2,-0.8
58,-0.05,0.05,-0.6
60,-0.1,0.25,-0.45
62,-0.1,0.55,-0.25
64,-0.1,0.8,-0.1
66,-0.1,1.0,0.1
68,-0.1,1.2,0.3
70,-0.1,1.4,0.45
72,-0.1,1.55,0.6
74,-0.1,1.75,0.75
76,-0.1,1.85,0.8
78,-0.1,1.95,0.9
80,-0.1,2.0,1.0
82,-0.05,2.0,1.0
84,-0.05,2.0,1.0
86,-0.05,2.0,0.95
88,-0.05,1.95,0.9
90,-0.05,1.8,0.8
92,0.0,1.7,0.65
94,0.0,1.5,0.5
96,0.0,1.3,0.25
98,0.0,1.1,0.1
100,0.05,0.95,-0.15
102,0.05,0.7,-0.4
104,0.05,0.45,-0.6
106,0.05,0.2,-0.85
108,0.05,-0.05,-1.05
110,0.1,-0.3,-1.2
112,0.1,-0.5,-1.2
114,0.1,-0.75,-1.25
116,0.1,-1.0,-1.25
118,0.1,-1.2,-1.25
120,0.1,-1.35,-1.25
122,0.1,-1.55,-1.25
124,0.1,-1.65,-1.25
126,0.1,-1.75,-1.25
128,0.1,-1.85,-1.25
130,0.1,-1.9,-1.25
132,0.05,-1.95,-1.25
134,0.05,-1.95,-1.25
136,0.05,-1.9,-1.25
138,0.05,-1.85,-1.25
140,0.05,-1.75,-1.25
142,0.0,-1.65,-1.2
144,0.0,-1.5,-1.2
146,0.0,-1.35,-1.2
148,0.0,-1.15,-1.15
150,-0.05,-0.9,-1.1
152,-0.05,-0.7,-1.0
154,-0.05,-0.45,-0.95
156,-0.05,-0.2,-0.8
158,-0.1,0.05,-0.6
160,-0.1,0.25,-0.45
162,-0.1,0.55,-0.25
164,-0.1,0.8,-0.1
166,-0.1,1.0,0.1
168,-0.1,1.2,0.25
170,-0.1,1.4,0.45
172,-0.1,1.55,0.6
174,-0.1,1.75,0.75
176,-0.1,1.85,0.85
178,-0.1,1.95,0.95
180,-0.1,2.0,0.95
182,-0.05,2.0,1.0
184,-0.05,2.0,1.0
186,-0.05,1.95,0.95
188,-0.05,1.95,0.9
190,-0.05,1.8,0.75
192,0.0,1.7,0.65
194,0.0,1.55,0.5
196,0.0,1.3,0.25
198,0.0,1.1,0.05
200,0.05,0.9,-0.15
202,0.05,0.7,-0.35
204,0.05,0.45,-0.55
206,0.05,0.2,-0.85
208,0.05,-0.05,-1.05
210,0.1,-0.35,-1.2
212,0.1,-0.5,-1.2
214,0.1,-0.75,-1.25
216,0.1,-1.0,-1.25
218,0.1,-1.2,-1.25
220,0.1,-1.35,-1.25
222,0.1,-1.55,-1.25
224,0.1,-1.65,-1.25
226,0.1,-1.75,-1.25
228,0.1,-1.85,-1.25
230,0.1,-1.9,-1.25
232,0.05,-1.95,-1.25
234,0.05,-1.95,-1.25
236,0.05,-1.9,-1.25
238,0.05,-1.8,-1.25
240,0.05,-1.75,-1.25
242,0.0,-1.65,-1.2
244,0.0,-1.5,-1.2
246,0.0,-1.3,-1.2
248,0.0,-1.15,-1.15
250,-0.05,-0.9,-1.1
252,-0.05,-0.7,-1.0
254,-0.05,-0.45,-0.9
