Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Hallspannung,,Längsspannung,,Temperatur,
2026-05-19,15:11:49.353122,1779196309.353122,s,4e-06,s,-4.4921875,mV,0.2621249854564667,V,156.8249969482422,°C
2026-05-19,15:11:54.353961,1779196314.353961,s,5.000843,s,-4.7734375,mV,0.28087499737739563,V,153.875,°C
2026-05-19,15:11:59.353996,1779196319.353996,s,10.000878,s,-5.0546875,mV,0.3009999990463257,V,151.0124969482422,°C
2026-05-19,15:12:04.354341,1779196324.354341,s,15.001223,s,-5.328125,mV,0.32212498784065247,V,148.25,°C
2026-05-19,15:12:09.361436,1779196329.361436,s,20.008318,s,-5.6015625,mV,0.34549999237060547,V,145.5625,°C
2026-05-19,15:12:14.355279,1779196334.355279,s,25.002161,s,-5.875,mV,0.36912500858306885,V,142.9499969482422,°C
2026-05-19,15:12:19.365329,1779196339.365329,s,30.012211,s,-6.1484375,mV,0.3941250145435333,V,140.3249969482422,°C
2026-05-19,15:12:24.356015,1779196344.356015,s,35.002897,s,-6.3984375,mV,0.42012500762939453,V,137.8625030517578,°C
2026-05-19,15:12:29.368131,1779196349.368131,s,40.015013,s,-6.609375,mV,0.44749999046325684,V,135.4875030517578,°C
2026-05-19,15:12:34.357308,1779196354.357308,s,45.00419,s,-6.8359375,mV,0.4762499928474426,V,133.1750030517578,°C
2026-05-19,15:12:39.368658,1779196359.368658,s,50.01554,s,-7.0390625,mV,0.5077499747276306,V,130.9250030517578,°C
2026-05-19,15:12:44.357741,1779196364.357741,s,55.004623,s,-7.203125,mV,0.5392500162124634,V,128.7375030517578,°C
2026-05-19,15:12:49.369135,1779196369.369135,s,60.016017,s,-7.3359375,mV,0.5721250176429749,V,126.51249694824219,°C
2026-05-19,15:12:54.358237,1779196374.358237,s,65.005119,s,-7.421875,mV,0.606374979019165,V,124.42500305175781,°C
2026-05-19,15:12:59.369632,1779196379.369632,s,70.016514,s,-7.421875,mV,0.6418750286102295,V,122.375,°C
2026-05-19,15:13:04.358766,1779196384.358766,s,75.005648,s,-7.453125,mV,0.6793749928474426,V,120.375,°C
2026-05-19,15:13:09.370897,1779196389.370897,s,80.017779,s,-7.484375,mV,0.7204999923706055,V,118.4000015258789,°C
2026-05-19,15:13:14.359264,1779196394.359264,s,85.006146,s,-7.4296875,mV,0.7611250281333923,V,116.48750305175781,°C
2026-05-19,15:13:19.372074,1779196399.372074,s,90.018956,s,-7.2421875,mV,0.8026250004768372,V,114.5250015258789,°C
2026-05-19,15:13:24.360457,1779196404.360457,s,95.007339,s,-6.9609375,mV,0.8452500104904175,V,112.6875,°C
2026-05-19,15:13:29.372543,1779196409.372543,s,100.019425,s,-6.6171875,mV,0.8887500166893005,V,110.9000015258789,°C
2026-05-19,15:13:34.361006,1779196414.361006,s,105.007888,s,-6.1796875,mV,0.9331250190734863,V,109.1500015258789,°C
2026-05-19,15:13:39.373072,1779196419.373072,s,110.019954,s,-5.6796875,mV,0.9779999852180481,V,107.44999694824219,°C
2026-05-19,15:13:44.361579,1779196424.361579,s,115.008461,s,-5.0625,mV,1.0248750448226929,V,105.7874984741211,°C
2026-05-19,15:13:49.373350,1779196429.37335,s,120.020232,s,-4.3515625,mV,1.0697499513626099,V,104.17500305175781,°C
2026-05-19,15:13:54.361921,1779196434.361921,s,125.008803,s,-3.5703125,mV,1.1145000457763672,V,102.5374984741211,°C
2026-05-19,15:13:59.373866,1779196439.373866,s,130.020748,s,-2.65625,mV,1.1584999561309814,V,101.0,°C
2026-05-19,15:14:04.362426,1779196444.362426,s,135.009308,s,-1.703125,mV,1.2021249532699585,V,99.51249694824219,°C
2026-05-19,15:14:09.374529,1779196449.374529,s,140.021411,s,-0.6796875,mV,1.2447500228881836,V,98.0625,°C
2026-05-19,15:14:14.362791,1779196454.362791,s,145.009673,s,0.421875,mV,1.287750005722046,V,96.63749694824219,°C
2026-05-19,15:14:19.375097,1779196459.375097,s,150.021979,s,1.5859375,mV,1.327625036239624,V,95.26249694824219,°C
2026-05-19,15:14:24.365803,1779196464.365803,s,155.012685,s,2.8046875,mV,1.3660000562667847,V,93.875,°C
2026-05-19,15:14:29.375581,1779196469.375581,s,160.022463,s,4.0703125,mV,1.402750015258789,V,92.5625,°C
2026-05-19,15:14:34.366320,1779196474.36632,s,165.013202,s,5.453125,mV,1.4373749494552612,V,91.30000305175781,°C
2026-05-19,15:14:39.376093,1779196479.376093,s,170.022975,s,6.7734375,mV,1.4704999923706055,V,90.0625,°C
2026-05-19,15:14:44.366832,1779196484.366832,s,175.013714,s,8.09375,mV,1.503000020980835,V,88.8499984741211,°C
2026-05-19,15:14:49.376620,1779196489.37662,s,180.023502,s,9.4140625,mV,1.5321249961853027,V,87.67500305175781,°C
